lga_code16,lga_name16,lga_type16,area_sqkm,latitude,longitude
10050,Albury,C,305.9459,-36.0266039017982,146.970424199197
10130,Armidale Regional,A,8620.699,-30.3363489725885,151.829149941183
10250,Ballina,A,484.9389,-28.8528863578047,153.486147368123
10300,Balranald,A,21690.6753,-33.9503516677003,143.611625420586
10470,Bathurst Regional,A,3817.8646,-33.4301388515708,149.525633684636
10550,Bega Valley,A,6278.8811,-36.8259429950977,149.717569542281
10600,Bellingen,A,1600.4337,-30.4038023387787,152.728590656099
10650,Berrigan,A,2065.7759,-35.7343271972344,145.711216060331
10750,Blacktown,C,240.0487,-33.7413284067382,150.864351096278
10800,Bland,A,8557.6535,-33.8943438041235,146.961267234132
10850,Blayney,A,1524.647,-33.5943303815937,149.142058802575
10900,Blue Mountains,C,1431.1442,-33.6975443675222,150.411141218289
10950,Bogan,A,14599.8996,-31.5381290579306,146.86687276313
11100,Botany Bay,C,21.6826,-33.9423189154455,151.201597033182
11150,Bourke,A,41599.5072,-29.910562208394,145.356833702681
11200,Brewarrina,A,19163.4798,-29.791525276476,146.960880578988
11250,Broken Hill,C,170.1153,-31.9440357155433,141.479267922677
11300,Burwood,A,7.1281,-33.8836862220319,151.103152006286
11350,Byron,A,565.8029,-28.6041665972678,153.482505248129
11400,Cabonne,A,6022.3498,-33.1529977139002,148.754101000612
11450,Camden,A,201.0281,-34.0087822720984,150.724023028584
11500,Campbelltown (NSW),C,311.9111,-34.0833447192874,150.845772904447
11520,Canada Bay,A,19.9233,-33.8534983160843,151.114825218656
11570,Canterbury-Bankstown,A,110.2368,-33.9235077154864,151.037320281152
11600,Carrathool,A,18932.4603,-33.6088972115026,145.496452004299
11650,Central Coast (NSW),C,1681.0695,-33.3079897580864,151.285487621674
11700,Central Darling,A,53492.1931,-31.850698052602,143.589691657052
11720,Cessnock,C,1965.1589,-32.9250681423123,151.224899917817
11730,Clarence Valley,A,10428.6803,-29.6817380805877,152.75115199511
11750,Cobar,A,45579.3299,-31.8680999232438,145.482928982653
11800,Coffs Harbour,C,1173.7437,-30.1890386353587,153.039834566091
12000,Coolamon,A,2430.9037,-34.6325315456399,147.104832893264
12150,Coonamble,A,9916.0536,-30.8705486085172,148.291607056647
12350,Cowra,A,2808.7822,-33.796383306286,148.717950332449
12380,Cumberland,A,71.5511,-33.8425578975761,150.987629376656
12700,Dungog,A,2249.9983,-32.3495605186885,151.608287307212
12730,Edward River,A,8883.4464,-35.1725444455628,144.941471918073
12750,Eurobodalla,A,3428.1695,-35.9451565075518,149.947049392371
12850,Fairfield,C,101.507,-33.8656344117246,150.895416742359
12870,Federation,A,5685.0486,-35.4970717827027,146.271364517791
12900,Forbes,A,4710.128,-33.4216316876871,147.867201975751
12930,Georges River,A,38.3459,-33.9710383092559,151.086364158471
12950,Gilgandra,A,4831.5057,-31.6190266229697,148.690733971271
13010,Glen Innes Severn,A,5479.977,-29.6449864013168,151.903042450252
13310,Goulburn Mulwaree,A,3220.0796,-34.8760395597892,149.813491415937
13340,Greater Hume Shire,A,5749.5185,-35.7502779147131,147.171838057668
13450,Griffith,C,1639.1728,-34.3004104667895,146.003587894655
